 CR CO DI OV TO WI EQ
CR TO  "DI TO"  "TO CR DI"  
CO       
DI "DI TO"  "TO CR DI"  "DI TO CR"  
OV       
TO "TO DI CR"  "DI TO CR"  "DI CR TO"  
WI       
EQ       
